code,date,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_type,report_date,PE_TTM,PS_TTM,PC_TTM,PB
sh600000,2015-04-14,18.03,18.04,17.56,17.89,-0.0077648364,372837000,6640480000,266969000000,333711000000,0.0249843762,148.5180665485,2014-12-31 00:00:00,2015-03-19 00:00:00,7.0961162859,2.7525446256,1.7456868031,1.2826354641
sh600004,2015-04-14,13.57,14.18,13.48,13.99,0.030191458,23223800,322130000,16088000000,16088000000,0.0201952363,22.9494890748,2014-12-31 00:00:00,2015-03-31 00:00:00,14.7920860753,2.9105346584,8.8214226262,1.8948295127
sh600005,2015-04-14,5.15,5.18,5.06,5.13,-0.0077369439,216397800,1106340000,51781000000,51781000000,0.0214387655,27.7717869689,2014-09-30 00:00:00,2014-10-31 00:00:00,94.7089507263,0.616270489,10.6049026955,1.4181148725
sh600006,2015-04-14,7.59,7.84,7.41,7.74,0.0184210526,69135700,528220000,15480000000,15480000000,0.03456785,27.004797861,2014-12-31 00:00:00,2015-03-27 00:00:00,110.1121037956,0.886026943,-47.1462508375,2.5414929925
sh600007,2015-04-14,18.19,18.3,17.74,17.95,-0.0191256831,6496300,116820000,18081000000,18081000000,0.0064492332,29.1543587069,2014-12-31 00:00:00,2015-03-25 00:00:00,33.7008454269,8.0924704459,16.6065905429,3.4611697353
sh600008,2015-04-14,15.19,15.27,14.8,15.12,-0.0006609385,56373100,849910000,33264000000,36444000000,0.0256241364,53.4642133922,2014-09-30 00:00:00,2014-10-31 00:00:00,55.0860423308,6.9509712955,245.7101030123,5.583518336
sh600009,2015-04-14,25.15,25.99,24.82,25.88,0.0286168521,21710200,553670000,28299000000,49870000000,0.019854411,74.4148960576,2014-12-31 00:00:00,2015-03-12 00:00:00,23.7981024753,8.6716687997,16.7296171871,2.7011215667
sh600010,2015-04-14,6.12,6.69,6.05,6.49,0.0639344262,1027919400,6513580000,102166000000,103874000000,0.0652976226,38.7103538289,2014-09-30 00:00:00,2014-10-30 00:00:00,745.1181665014,3.3325336067,17.5928826674,5.524627857
sh600011,2015-04-14,8.66,9.46,8.58,9.41,0.0878612717,222671700,2016270000,98805000000,135696000000,0.0212068286,37.1779748661,2014-12-31 00:00:00,2015-03-25 00:00:00,12.8673381348,1.0820446462,4.0724948138,1.9609727225
sh600012,2015-04-14,8.52,9.14,8.32,9.13,0.0628637951,38323600,342400000,10642000000,15143000000,0.0328786382,18.098615308,2014-12-31 00:00:00,2015-03-30 00:00:00,17.5905731483,6.4726066243,9.4893424187,1.9920010141
sh600015,2015-04-14,14.79,15.66,14.43,15.34,0.0316072629,256122800,3842570000,99521000000,136597000000,0.0394783388,41.4162529296,2014-09-30 00:00:00,2014-10-31 00:00:00,7.7823261004,2.6296646846,10.7935513822,1.4190179995
sz300422,2015-04-14,73.28,73.28,73.28,73.28,0.099969979,411400,30150000,1136000000,4543000000,0.0265381972,73.2800845143,code,,,,,
sz300423,2015-04-14,36.28,37.67,35.6,37.1,0.0209135938,3741900,137530000,816000000,3265000000,0.1701280515,37.0999994836,,,,,,
sz300426,2015-04-14,100.88,111.41,100.18,111.41,0.1000197472,3094100,334810000,2228000000,8913000000,0.1547188873,111.410426528,,,,,,
sz300427,2015-04-14,38.1,42.5,38.05,42.5,0.0998964803,4854000,203150000,942000000,3768000000,0.2189968153,42.5000276592,,,,,,
sz300428,2015-04-14,44.49,45.55,42.78,43.59,-0.020229265,3575500,157230000,881000000,3522000000,0.1769081101,43.5899886152,,,,,,
sz300429,2015-04-14,63.28,68.8,63.28,68.39,0.0898804781,6044800,398950000,1368000000,5458000000,0.3021958129,68.3899554742,,,,,,
sz300430,2015-04-14,72.32,76.82,72.02,75.26,0.0278612401,2695200,201910000,1144000000,4576000000,0.1773083497,75.260001182,,,,,,
sz300431,2015-04-14,39.04,39.04,39.04,39.04,0.100028177,51200,2000000,1171000000,4685000000,0.0017069582,39.0400144813,,,,,,
sz300432,2015-04-14,57.7,58.27,56.43,56.99,-0.0238095238,2492100,142960000,1710000000,6839000000,0.0830554263,56.9900238153,,,,,,
sz300433,2015-04-14,107,111.88,103.8,105.98,-0.008606174,11305000,1226910000,7139000000,71363000000,0.1678251716,105.9800003221,,,,,,
sz300435,2015-04-14,58.02,59.97,58.01,58.95,-0.0259418374,5663400,334420000,1179000000,4716000000,0.28317,58.9500079089,,,,,,
